Ano,Distrito,Concelho,Freguesia,Tipo,Numero
2025,Açores,Angra do Heroísmo,Altares,Inscritos,845.0
2025,Açores,Angra do Heroísmo,Altares,Votantes,427.0
2025,Açores,Angra do Heroísmo,Altares,TaxaAbstenção,49.47
2025,Açores,Angra do Heroísmo,Altares,Brancos,27.0
2025,Açores,Angra do Heroísmo,Altares,Nulos,2.0
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),Inscritos,3618.0
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),Votantes,1607.0
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),TaxaAbstenção,55.58
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),Brancos,37.0
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),Nulos,16.0
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),Inscritos,2280.0
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),Votantes,1145.0
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),TaxaAbstenção,49.78
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),Brancos,31.0
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),Nulos,12.0
2025,Açores,Angra do Heroísmo,Angra (São Pedro),Inscritos,3316.0
2025,Açores,Angra do Heroísmo,Angra (São Pedro),Votantes,1813.0
2025,Açores,Angra do Heroísmo,Angra (São Pedro),TaxaAbstenção,45.33
2025,Açores,Angra do Heroísmo,Angra (São Pedro),Brancos,47.0
2025,Açores,Angra do Heroísmo,Angra (São Pedro),Nulos,6.0
2025,Açores,Angra do Heroísmo,Angra (Sé),Inscritos,1105.0
2025,Açores,Angra do Heroísmo,Angra (Sé),Votantes,569.0
2025,Açores,Angra do Heroísmo,Angra (Sé),TaxaAbstenção,48.51
2025,Açores,Angra do Heroísmo,Angra (Sé),Brancos,17.0
2025,Açores,Angra do Heroísmo,Angra (Sé),Nulos,7.0
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,Inscritos,640.0
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,Votantes,354.0
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,TaxaAbstenção,44.69
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,Brancos,10.0
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,Nulos,4.0
2025,Açores,Angra do Heroísmo,Doze Ribeiras,Inscritos,428.0
2025,Açores,Angra do Heroísmo,Doze Ribeiras,Votantes,253.0
2025,Açores,Angra do Heroísmo,Doze Ribeiras,TaxaAbstenção,40.89
2025,Açores,Angra do Heroísmo,Doze Ribeiras,Brancos,5.0
2025,Açores,Angra do Heroísmo,Doze Ribeiras,Nulos,3.0
2025,Açores,Angra do Heroísmo,Feteira,Inscritos,1276.0
2025,Açores,Angra do Heroísmo,Feteira,Votantes,692.0
2025,Açores,Angra do Heroísmo,Feteira,TaxaAbstenção,45.77
2025,Açores,Angra do Heroísmo,Feteira,Brancos,20.0
2025,Açores,Angra do Heroísmo,Feteira,Nulos,9.0
2025,Açores,Angra do Heroísmo,Porto Judeu,Inscritos,2366.0
2025,Açores,Angra do Heroísmo,Porto Judeu,Votantes,993.0
2025,Açores,Angra do Heroísmo,Porto Judeu,TaxaAbstenção,58.03
2025,Açores,Angra do Heroísmo,Porto Judeu,Brancos,31.0
2025,Açores,Angra do Heroísmo,Porto Judeu,Nulos,8.0
2025,Açores,Angra do Heroísmo,Posto Santo,Inscritos,959.0
2025,Açores,Angra do Heroísmo,Posto Santo,Votantes,497.0
2025,Açores,Angra do Heroísmo,Posto Santo,TaxaAbstenção,48.18
2025,Açores,Angra do Heroísmo,Posto Santo,Brancos,19.0
2025,Açores,Angra do Heroísmo,Posto Santo,Nulos,7.0
2025,Açores,Angra do Heroísmo,Raminho,Inscritos,491.0
2025,Açores,Angra do Heroísmo,Raminho,Votantes,236.0
2025,Açores,Angra do Heroísmo,Raminho,TaxaAbstenção,51.93
2025,Açores,Angra do Heroísmo,Raminho,Brancos,9.0
2025,Açores,Angra do Heroísmo,Raminho,Nulos,2.0
2025,Açores,Angra do Heroísmo,Ribeirinha,Inscritos,2460.0
2025,Açores,Angra do Heroísmo,Ribeirinha,Votantes,1233.0
2025,Açores,Angra do Heroísmo,Ribeirinha,TaxaAbstenção,49.88
2025,Açores,Angra do Heroísmo,Ribeirinha,Brancos,35.0
2025,Açores,Angra do Heroísmo,Ribeirinha,Nulos,16.0
2025,Açores,Angra do Heroísmo,Santa Bárbara,Inscritos,1269.0
2025,Açores,Angra do Heroísmo,Santa Bárbara,Votantes,584.0
2025,Açores,Angra do Heroísmo,Santa Bárbara,TaxaAbstenção,53.98
2025,Açores,Angra do Heroísmo,Santa Bárbara,Brancos,22.0
2025,Açores,Angra do Heroísmo,Santa Bárbara,Nulos,11.0
2025,Açores,Angra do Heroísmo,São Bartolomeu de Regatos,Inscritos,1825.0
2025,Açores,Angra do Heroísmo,São Bartolomeu de Regatos,Votantes,882.0
2025,Açores,Angra do Heroísmo,São Bartolomeu de Regatos,TaxaAbstenção,51.67
2025,Açores,Angra do Heroísmo,São Bartolomeu de Regatos,Brancos,30.0
2025,Açores,Angra do Heroísmo,São Bartolomeu de Regatos,Nulos,11.0
2025,Açores,Angra do Heroísmo,São Bento,Inscritos,1790.0
