Ano,Distrito,Concelho,Freguesia,Partido,Votos,Percentagem
2025,Açores,Angra do Heroísmo,Altares,PPD/PSD.CDS-PP.PPM,169,42.46
2025,Açores,Angra do Heroísmo,Altares,PS,117,29.4
2025,Açores,Angra do Heroísmo,Altares,CH,80,20.1
2025,Açores,Angra do Heroísmo,Altares,B.E.,10,2.51
2025,Açores,Angra do Heroísmo,Altares,IL,9,2.26
2025,Açores,Angra do Heroísmo,Altares,ADN,6,1.51
2025,Açores,Angra do Heroísmo,Altares,L,5,1.26
2025,Açores,Angra do Heroísmo,Altares,PCP-PEV,1,0.25
2025,Açores,Angra do Heroísmo,Altares,R.I.R.,1,0.25
2025,Açores,Angra do Heroísmo,Altares,E,0,0.0
2025,Açores,Angra do Heroísmo,Altares,JPP,0,0.0
2025,Açores,Angra do Heroísmo,Altares,MPT,0,0.0
2025,Açores,Angra do Heroísmo,Altares,PAN,0,0.0
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),PPD/PSD.CDS-PP.PPM,532,34.23
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),PS,504,32.43
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),CH,278,17.89
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),L,64,4.12
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),B.E.,49,3.15
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),IL,48,3.09
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),ADN,26,1.67
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),PCP-PEV,25,1.61
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),PAN,17,1.09
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),R.I.R.,4,0.26
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),JPP,3,0.19
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),E,2,0.13
2025,Açores,Angra do Heroísmo,Angra (Nossa Senhora da Conceição),MPT,2,0.13
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),PPD/PSD.CDS-PP.PPM,397,36.03
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),PS,379,34.39
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),CH,192,17.42
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),IL,50,4.54
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),B.E.,24,2.18
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),L,19,1.72
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),PCP-PEV,14,1.27
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),ADN,13,1.18
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),PAN,13,1.18
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),JPP,1,0.09
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),E,0,0.0
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),MPT,0,0.0
2025,Açores,Angra do Heroísmo,Angra (Santa Luzia),R.I.R.,0,0.0
2025,Açores,Angra do Heroísmo,Angra (São Pedro),PPD/PSD.CDS-PP.PPM,799,45.4
2025,Açores,Angra do Heroísmo,Angra (São Pedro),PS,483,27.44
2025,Açores,Angra do Heroísmo,Angra (São Pedro),CH,204,11.59
2025,Açores,Angra do Heroísmo,Angra (São Pedro),IL,82,4.66
2025,Açores,Angra do Heroísmo,Angra (São Pedro),L,63,3.58
2025,Açores,Angra do Heroísmo,Angra (São Pedro),B.E.,48,2.73
2025,Açores,Angra do Heroísmo,Angra (São Pedro),ADN,25,1.42
2025,Açores,Angra do Heroísmo,Angra (São Pedro),PCP-PEV,25,1.42
2025,Açores,Angra do Heroísmo,Angra (São Pedro),PAN,24,1.36
2025,Açores,Angra do Heroísmo,Angra (São Pedro),E,2,0.11
2025,Açores,Angra do Heroísmo,Angra (São Pedro),JPP,2,0.11
2025,Açores,Angra do Heroísmo,Angra (São Pedro),MPT,2,0.11
2025,Açores,Angra do Heroísmo,Angra (São Pedro),R.I.R.,1,0.06
2025,Açores,Angra do Heroísmo,Angra (Sé),PPD/PSD.CDS-PP.PPM,238,43.67
2025,Açores,Angra do Heroísmo,Angra (Sé),PS,131,24.04
2025,Açores,Angra do Heroísmo,Angra (Sé),CH,76,13.94
2025,Açores,Angra do Heroísmo,Angra (Sé),IL,39,7.16
2025,Açores,Angra do Heroísmo,Angra (Sé),L,22,4.04
2025,Açores,Angra do Heroísmo,Angra (Sé),B.E.,16,2.94
2025,Açores,Angra do Heroísmo,Angra (Sé),ADN,8,1.47
2025,Açores,Angra do Heroísmo,Angra (Sé),PAN,6,1.1
2025,Açores,Angra do Heroísmo,Angra (Sé),PCP-PEV,6,1.1
2025,Açores,Angra do Heroísmo,Angra (Sé),JPP,1,0.18
2025,Açores,Angra do Heroísmo,Angra (Sé),MPT,1,0.18
2025,Açores,Angra do Heroísmo,Angra (Sé),R.I.R.,1,0.18
2025,Açores,Angra do Heroísmo,Angra (Sé),E,0,0.0
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,PPD/PSD.CDS-PP.PPM,160,47.06
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,PS,72,21.18
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,CH,63,18.53
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,IL,12,3.53
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,PCP-PEV,10,2.94
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,L,8,2.35
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,B.E.,7,2.06
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,ADN,3,0.88
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,PAN,3,0.88
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,JPP,1,0.29
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,R.I.R.,1,0.29
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,E,0,0.0
2025,Açores,Angra do Heroísmo,Cinco Ribeiras,MPT,0,0.0
2025,Açores,Angra do Heroísmo,Doze Ribeiras,PPD/PSD.CDS-PP.PPM,94,38.37
2025,Açores,Angra do Heroísmo,Doze Ribeiras,PS,68,27.76
2025,Açores,Angra do Heroísmo,Doze Ribeiras,CH,54,22.04
2025,Açores,Angra do Heroísmo,Doze Ribeiras,L,10,4.08
2025,Açores,Angra do Heroísmo,Doze Ribeiras,IL,6,2.45
2025,Açores,Angra do Heroísmo,Doze Ribeiras,PCP-PEV,6,2.45
2025,Açores,Angra do Heroísmo,Doze Ribeiras,ADN,3,1.22
